Date,Total,China,Hong Kong,Macau,Taipei,Japan,South Korea,Viet Nam,Singapore,Australia,Malaysia,Cambodia,Philippines,Thailand,Nepal,Sri Lanka,India,USA,Canada,France,Finland,Germany,UAE
21-01-2020,282,278,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
22-01-2020,314,309,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
23-01-2020,581,568,1,1,1,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
24-01-2020,846,825,2,2,1,1,2,2,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0
25-01-2020,1320,1287,5,2,3,3,2,2,3,3,0,0,0,4,1,0,0,2,0,3,0,0,0
26-01-2020,2014,1975,5,2,3,3,2,2,4,4,3,0,0,5,1,0,0,2,0,3,0,0,0
27-01-2020,2798,2744,8,5,4,4,4,2,4,4,4,0,0,5,1,0,0,5,1,3,0,0,0
28-01-2020,4593,4515,8,7,7,6,4,2,7,5,4,1,0,14,1,1,0,5,2,3,0,1,0
29-01-2020,6065,5974,8,7,8,7,4,2,7,7,4,1,0,14,1,1,0,5,3,4,0,4,4
30-01-2020,7818,7736,10,7,8,11,4,2,10,7,7,1,1,14,1,1,1,5,3,5,1,4,4
